Age,Gender,Education,EducationNum,Workclass,Occupation,Industry,Location,YearsExperience,HoursPerWeek,MaritalStatus,Race,CapitalGain,CapitalLoss,NativeCountry,FinalWeight,Salary,SalaryCategory
46,0,0,4,1,5,2,0,13,57,0,0,5390,956,4,125553,53400,1
38,0,3,11,0,0,3,3,1,59,2,3,3709,2688,1,97768,50100,1
39,0,3,10,0,3,3,4,8,54,1,0,156,2515,1,67540,52200,1
53,0,4,8,0,4,0,2,8,22,2,3,2872,1060,3,101015,54700,1
35,0,4,3,2,5,1,1,7,28,2,2,913,889,1,76680,34300,0
31,0,1,5,1,4,3,1,17,26,1,0,3723,1058,3,131919,60000,1
27,1,4,1,1,2,2,0,4,21,1,4,5362,4829,4,97252,24500,0
56,0,1,3,0,4,3,4,18,25,2,3,6003,4817,1,149408,50700,1
20,1,4,14,1,4,1,2,16,36,1,4,8031,4028,1,80871,71300,1
37,0,1,10,1,0,0,2,3,51,2,0,753,955,2,123251,54100,1
44,1,1,3,3,4,2,4,12,26,1,1,9386,4424,1,61497,53500,1
24,1,0,1,2,4,4,1,22,21,1,2,2812,396,4,82667,54000,1
57,1,2,3,3,4,2,1,9,48,0,4,1169,891,1,115855,45300,0
37,0,2,11,1,0,4,1,32,28,1,1,4311,2916,3,134421,95400,1
25,1,2,15,0,3,2,0,31,45,1,0,8092,4144,4,61672,103100,1
36,0,1,10,1,0,4,3,10,48,1,3,1901,4506,4,139078,59200,1
37,1,0,11,1,4,0,1,30,56,1,2,769,1586,3,103806,94700,1
38,1,0,1,0,3,3,0,21,55,0,2,7750,1071,4,74968,55100,1
51,0,1,2,3,2,0,4,7,23,0,2,1862,834,0,149156,42300,0
35,1,1,8,1,0,2,3,26,53,0,0,7604,1617,1,114735,76300,1
58,1,2,12,2,2,0,4,6,21,1,4,7986,3523,3,114624,58200,1
53,1,4,13,0,2,3,3,13,37,0,3,5948,2901,4,80295,61500,1
43,0,1,13,1,4,2,1,8,39,1,0,2093,4702,4,71964,64500,1
40,1,1,6,0,5,2,2,6,48,1,1,3236,2566,2,127095,37400,0
48,1,0,8,2,1,2,4,6,50,2,4,785,2024,2,143628,45400,0
59,0,1,14,1,5,0,2,39,27,1,0,9525,144,1,110827,112700,1
32,1,3,3,3,3,0,4,29,24,1,0,5508,4039,3,72196,76500,1
20,0,4,15,2,1,2,1,12,30,2,2,2139,82,4,148723,72400,1
41,0,0,7,0,3,4,1,10,37,1,0,2985,2806,1,120296,48500,0
21,0,4,15,0,5,2,0,14,37,0,3,7654,3706,2,129086,75900,1
21,1,0,6,0,0,1,2,1,33,2,1,606,4216,0,69762,42600,0
28,1,0,14,1,1,1,4,13,22,0,4,6112,4809,2,119083,70100,1
20,1,2,2,0,1,3,2,30,21,1,2,2837,916,4,141267,73000,1
20,1,4,12,3,2,1,1,13,30,1,3,569,784,4,95300,70800,1
26,1,1,13,1,4,0,4,17,41,1,4,3130,4536,2,98542,68900,1
30,0,2,9,2,1,4,2,3,33,2,3,5341,4472,3,69947,39100,0
54,1,2,3,3,2,2,2,2,29,2,2,6251,3772,0,76822,26800,0
39,1,2,1,1,4,3,3,19,49,1,1,4177,3336,2,53099,51200,1
52,1,4,13,1,0,3,0,2,44,2,0,5292,2048,0,54519,48300,0
36,1,2,14,1,4,0,4,26,42,1,2,4246,621,2,60429,96700,1
50,0,0,15,1,0,1,0,28,40,1,1,6086,1620,4,146748,96900,1
25,0,0,14,0,3,0,4,28,56,2,4,6700,287,0,63191,85600,1
28,1,2,15,0,1,3,0,6,45,2,3,6917,209,2,111244,59300,1
26,0,1,13,1,3,2,2,24,41,0,4,8658,4381,1,87288,83100,1
27,0,4,15,1,4,2,3,22,45,2,1,2443,4139,2,65470,83100,1
35,1,2,11,2,4,3,1,22,37,2,0,9057,160,3,129087,78600,1
29,0,1,2,0,3,2,2,30,50,1,0,821,4337,4,76437,76200,1
30,0,0,3,1,1,1,3,35,59,1,0,4175,783,0,109256,82700,1
21,0,0,15,3,2,2,3,1,47,2,1,7709,2257,3,134049,50600,1
47,0,2,11,2,1,4,2,3,36,2,2,4395,3537,4,97341,47100,0
38,1,4,5,2,4,2,0,13,39,2,4,7096,1373,4,116505,54400,1
58,0,1,6,3,4,3,1,33,48,2,0,6719,1469,0,81898,81000,1
38,1,4,5,2,0,0,3,27,43,2,1,5184,905,0,65064,66400,1
24,1,2,3,0,3,1,4,12,23,0,4,9805,796,4,146846,53000,1
39,0,4,6,2,3,1,0,8,32,0,0,8101,2505,3,106568,41600,0
28,0,3,3,0,3,2,3,2,27,1,3,8558,315,3,78690,33700,0
48,1,4,8,2,2,4,1,22,45,2,1,3033,1290,3,111651,78600,1
28,1,4,14,1,5,1,4,15,51,1,3,2912,4510,0,64251,75800,1
27,1,1,10,1,5,0,2,26,39,0,2,9258,2356,4,138876,80400,1
34,1,1,5,3,5,3,2,38,22,1,0,370,4235,4,114399,88700,1
41,0,1,9,3,2,0,4,37,27,2,4,369,569,4,122200,98600,1
22,1,1,13,1,0,4,0,18,33,1,2,6500,671,3,84781,70200,1
27,0,4,3,2,3,0,2,31,45,0,2,1896,1688,1,92426,68800,1
50,0,2,5,3,1,2,4,26,39,0,1,5158,2073,4,95500,76900,1
26,1,0,4,2,0,0,0,28,34,2,2,2920,1284,0,50585,73400,1
50,0,4,6,3,5,3,0,31,43,2,0,868,201,4,69427,83900,1
26,0,1,9,0,0,0,4,34,48,0,1,772,2098,4,67155,87600,1
34,1,4,10,1,2,3,1,9,25,2,2,4831,2600,4,50073,62400,1
26,0,3,4,2,0,0,4,14,33,0,3,7102,191,2,64151,57200,1
54,1,3,3,0,3,4,2,34,31,2,4,8026,2317,4,117370,77900,1
28,1,1,7,3,1,2,2,24,36,2,4,1215,882,3,144648,79600,1
23,1,2,11,3,2,0,3,7,47,2,4,2817,2549,1,96254,50700,1
21,1,3,4,1,3,3,2,9,33,0,1,523,2134,3,76775,44200,0
51,0,4,9,1,0,0,2,31,50,1,2,884,1633,4,82552,82600,1
27,0,1,5,2,3,2,4,4,29,1,2,4412,1664,2,123284,36600,0
53,1,0,1,2,2,4,2,26,53,1,0,388,2617,1,124219,60300,1
37,0,0,3,2,0,3,4,19,34,0,3,1925,1191,1,50775,61700,1
31,0,1,8,2,1,1,4,11,54,1,4,7703,1952,2,90034,50600,1
26,1,3,11,1,3,3,3,0,21,2,4,9770,3884,2,102118,38400,0
21,0,1,9,3,5,0,3,24,56,2,4,3661,1302,0,51236,80500,1
32,1,0,4,0,5,1,2,33,44,1,4,3195,1103,0,113303,83100,1
38,1,0,5,0,3,1,1,7,43,0,0,6880,3980,2,138985,50100,1
43,0,1,10,1,0,2,2,32,30,1,4,9476,4822,0,108240,95200,1
35,1,1,7,2,3,3,4,29,55,1,2,8938,3030,3,139754,78400,1
40,0,1,3,0,3,3,0,20,20,0,2,75,845,2,80174,52300,1
34,0,1,8,3,3,2,3,18,21,2,2,2341,2824,0,89408,72000,1
50,1,4,1,2,2,2,3,20,50,0,2,4710,3183,2,112580,50400,1
58,1,0,8,0,4,2,4,26,44,1,2,2033,2882,1,70222,71800,1
47,0,4,15,1,4,0,1,28,26,2,1,5650,2797,3,140256,93900,1
21,0,3,9,2,5,0,2,25,32,0,1,3567,604,2,66889,83000,1
46,0,3,7,2,2,0,4,16,57,1,3,4710,1261,3,89969,63200,1
58,0,2,15,2,4,2,4,3,33,1,2,7587,1315,4,101751,58400,1
37,0,4,13,0,0,4,0,24,20,1,4,144,1546,3,147126,83200,1
37,0,4,2,1,4,2,4,11,58,0,1,1580,4204,4,68997,49700,0
43,1,3,8,2,4,2,2,5,54,0,3,5755,4186,0,71947,40300,0
42,0,4,14,1,5,0,3,25,22,1,0,3641,2318,4,82128,80600,1
36,0,1,14,2,4,2,4,16,29,0,0,2943,3273,1,136869,80400,1
49,1,4,6,2,5,4,4,2,26,0,2,7104,1791,4,58181,36000,0
58,1,4,2,3,1,0,2,34,59,2,2,602,870,4,93806,74900,1
33,1,1,9,3,3,2,0,28,45,2,0,5277,3554,3,89102,81100,1
38,1,3,5,2,1,4,3,1,56,2,0,2707,4794,0,146396,30600,0
52,1,1,11,0,2,1,4,27,50,1,0,9926,155,1,97195,82000,1
33,1,0,4,3,1,1,3,4,34,1,2,3585,4405,4,71839,43400,0
36,0,0,3,1,2,2,0,17,58,2,4,2888,2192,0,88437,53700,1
40,0,1,13,1,2,0,2,27,30,1,1,9271,2212,0,82770,82900,1
47,1,1,11,0,0,3,1,23,24,2,1,6902,876,0,77995,78600,1
40,0,2,9,3,0,0,1,37,41,1,3,9009,3656,4,115592,102200,1
43,0,3,12,0,5,2,0,1,33,1,0,2898,3609,1,84753,48600,0
54,1,0,5,1,0,4,2,30,26,1,1,3429,170,1,58854,76700,1
31,0,2,13,2,5,0,3,9,33,2,0,2584,2087,3,126551,57900,1
54,1,4,2,2,3,3,1,11,50,0,2,400,2628,2,112048,36800,0
32,0,4,12,0,2,4,0,34,59,0,4,7353,2522,4,121484,99900,1
20,1,3,10,2,2,0,0,17,56,0,3,2096,3644,3,109935,65400,1
29,1,3,9,2,4,0,4,18,59,1,2,3904,4915,1,97059,72700,1
29,1,4,10,0,5,2,2,4,51,1,0,5340,1149,4,79436,54200,1
29,0,3,3,1,1,4,4,0,59,2,2,8743,3604,1,128341,32500,0
57,0,1,10,1,5,1,3,19,32,1,2,4815,4870,4,99537,64400,1
57,0,4,6,1,2,3,1,13,28,1,0,8691,2286,3,60555,53400,1
27,0,4,10,0,2,1,2,8,21,1,3,6236,162,0,88114,61600,1
46,0,4,2,1,3,1,1,6,21,2,3,4969,3433,2,134396,40900,0
51,0,0,11,3,0,0,4,9,31,2,1,4333,2385,0,93607,61000,1
36,0,3,8,0,1,0,4,21,49,1,3,5182,485,3,141206,64500,1
56,1,3,10,1,4,4,3,7,45,1,4,1542,1043,0,108012,56800,1
42,0,4,3,1,3,1,1,10,56,0,0,89,3171,3,114030,46300,0
33,1,0,13,3,0,1,4,7,48,2,1,4444,992,3,114863,60300,1
55,1,4,14,3,2,0,1,12,46,1,1,6556,3816,3,83262,72900,1
27,1,2,10,0,1,3,0,16,49,0,0,6382,1048,4,101514,69200,1
27,0,2,3,1,5,2,0,14,44,2,1,1548,2734,2,145569,49900,0
41,0,4,15,0,1,0,0,11,23,2,0,301,2745,0,95517,71200,1
40,1,4,3,1,4,4,3,14,54,2,4,3542,936,2,145556,43800,0
50,0,4,10,3,3,1,0,5,51,2,1,5462,2472,3,65842,56300,1
39,0,1,1,3,2,4,1,2,51,1,4,7038,4089,4,99937,26200,0
29,0,0,11,0,5,0,0,23,27,1,2,48,3240,2,92458,81900,1
40,0,3,5,2,0,0,2,9,51,2,2,8852,807,4,147657,42700,0
21,1,0,4,1,4,4,1,12,39,1,0,6879,386,1,81206,45600,0
45,1,1,13,3,4,4,2,37,32,0,1,8308,3447,1,149022,105500,1
